ctrl-1_FRAS202101646-1r_aligned.sam	ctrl-2_FRAS202101647-1r_aligned.sam	ctrl-3_FRAS202101648-1r_aligned.sam	ctrl-4_FRAS202101649-1r_aligned.sam	AKG-1_FRAS202101650-1r_aligned.sam	AKG-2_FRAS202101651-1r_aligned.sam	AKG-3_FRAS202101652-1r_aligned.sam	AKG-4_FRAS202101653-1r_aligned.sam	Pyr-1_FRAS202101654-1r_aligned.sam	Pyr-2_FRAS202101655-1r_aligned.sam	Pyr-3_FRAS202101656-1r_aligned.sam	Pyr-4_FRAS202101657-1r_aligned.sam	Length
ENSG00000223972	3	2	12	5	4	1	1	5	1	6	3	1	1735
ENSG00000227232	134	96	116	122	109	116	126	126	181	95	262	330	1351
ENSG00000278267	5	0	17	2	5	4	7	1	5	3	35	42	68
ENSG00000243485	0	7	2	4	1	6	9	5	6	5	7	17	1021
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	138
ENSG00000237613	10	2	4	0	6	9	8	0	2	3	3	4	1219
ENSG00000268020	0	0	0	2	0	1	3	2	0	0	3	1	840
ENSG00000240361	4	0	1	1	0	2	1	2	4	3	2	4	940
ENSG00000186092	0	0	0	1	1	5	2	2	0	0	0	2	918
ENSG00000238009	123	119	93	81	90	154	158	132	126	87	159	143	3726
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	1319
ENSG00000233750	10	7	14	13	12	12	13	12	15	1	9	19	3812
ENSG00000268903	50	36	39	49	37	49	49	41	39	31	64	71	755
ENSG00000269981	53	44	48	49	44	56	47	56	39	43	113	147	284
ENSG00000239906	4	8	7	5	7	5	10	6	12	6	19	6	323
ENSG00000241860	36	35	18	31	34	27	26	12	11	21	17	18	6195
ENSG00000222623	0	0	0	1	0	0	0	0	0	0	0	0	104
ENSG00000241599	3	1	3	2	2	0	1	1	0	3	0	1	457
ENSG00000279928	9	5	7	1	1	2	3	5	3	3	2	4	718
ENSG00000279457	245	172	175	220	132	181	201	161	261	182	314	403	1982
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000275135	1	0	0	1	0	0	1	0	0	0	0	0	138
ENSG00000228463	498	356	439	397	429	468	508	440	313	380	387	412	4039
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	457
ENSG00000236679	29	17	36	24	12	25	30	16	24	23	18	24	385
ENSG00000236743	7	6	4	2	1	6	5	3	6	2	10	4	676
ENSG00000236601	0	1	0	0	0	0	0	1	0	0	0	1	1095
ENSG00000237094	134	115	98	139	95	100	120	124	161	158	111	162	4792
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	363
ENSG00000278566	0	0	0	0	0	0	0	0	0	0	0	0	939
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	183
ENSG00000233653	0	0	1	0	0	1	0	0	0	0	0	0	2477
ENSG00000250575	6	3	11	15	8	4	5	8	2	11	13	14	1239
ENSG00000278757	1	4	5	2	6	6	3	4	7	6	4	8	104
ENSG00000230021	17	36	12	13	15	12	26	14	11	7	13	15	4479
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	635
ENSG00000225972	41	22	18	50	31	46	54	54	56	70	16	16	372
ENSG00000225630	5311	5467	5644	5694	5022	6540	6145	6457	6251	5210	3582	3646	1044
ENSG00000276171	12	3	2	10	5	4	6	8	8	11	22	21	63
ENSG00000237973	505	503	569	707	462	669	863	690	735	686	904	947	1543
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	89
ENSG00000229344	4	2	2	7	7	4	4	3	1	6	7	5	682
ENSG00000240409	0	0	0	0	0	0	1	0	2	0	0	0	207
ENSG00000248527	11628	13384	12381	16107	11210	14836	15806	14799	14676	12951	12947	11934	681
ENSG00000198744	22	12	28	23	14	25	12	13	14	19	14	13	547
ENSG00000268663	2	0	0	0	0	0	0	1	0	0	0	1	424
ENSG00000273547	0	1	0	0	0	0	0	0	0	0	0	0	939
ENSG00000229376	9	2	6	3	0	5	6	3	3	3	14	6	2455
ENSG00000228327	279	243	299	354	211	264	282	235	261	262	326	344	6432
ENSG00000223181	0	4	2	1	0	0	1	1	2	0	1	0	104
ENSG00000229905	0	3	0	0	1	1	1	2	0	0	2	2	456
ENSG00000237491	140	116	152	95	98	87	103	86	117	79	65	95	5517
ENSG00000230092	11	13	16	8	22	20	17	15	18	22	18	8	872
ENSG00000177757	7	6	1	7	1	3	4	4	9	3	4	5	1947
ENSG00000228794	972	759	870	817	707	698	732	760	938	874	915	998	9470
ENSG00000225880	42	36	46	47	26	49	66	50	43	39	85	103	1317
ENSG00000230368	1	1	1	0	4	1	2	0	0	1	0	1	1971
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0	1058
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	837
ENSG00000272438	2	3	0	3	0	1	0	3	0	0	1	6	351
ENSG00000230699	5	10	11	9	8	10	6	11	3	9	6	3	3043
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	443
ENSG00000223764	5	5	7	9	4	6	12	4	5	7	9	1	4152
ENSG00000187634	2	3	1	12	3	8	5	9	2	1	12	16	3214
ENSG00000188976	4932	4430	4895	5018	3986	4402	4667	4511	5108	5134	8774	9657	5539
ENSG00000187961	573	565	644	706	607	765	880	680	676	525	1084	1214	3395
ENSG00000277294	0	0	0	0	0	0	0	0	0	0	0	0	57
ENSG00000187583	4	10	5	10	8	7	7	13	4	0	14	10	2833
ENSG00000187642	0	0	0	3	1	1	4	2	0	0	3	2	3424
ENSG00000272512	7	9	3	12	6	12	10	12	12	5	37	36	2086
ENSG00000188290	80	80	95	141	55	122	135	96	74	46	250	299	1118
ENSG00000187608	166	205	203	172	205	179	221	201	193	149	236	265	942
ENSG00000231702	0	0	0	0	2	0	1	0	0	0	1	1	154
ENSG00000224969	2	1	0	1	1	2	4	1	3	1	0	2	471
ENSG00000188157	3063	3212	3524	3747	2804	3656	4232	3301	3577	2517	6101	7377	10758
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	402
ENSG00000217801	62	62	61	63	82	83	86	85	53	68	96	100	2171
ENSG00000273443	4	3	12	9	1	4	12	2	3	0	23	14	829
ENSG00000237330	0	0	0	2	0	0	0	2	0	0	2	1	1902
ENSG00000131591	428	440	524	542	375	526	580	473	475	357	821	1013	6322
